epoch,i,reward,x_movement,success,iterations,time,mean
0,37,147.0,168,0,28,5,0
10,718,170.0,191,0,20,3,0
20,1430,170.0,191,0,20,3,0
30,3166,492.0,522,0,63,12,0
40,3820,271.0,297,0,41,8,0
50,4346,588.0,617,0,55,11,0
60,5569,152.0,174,0,25,5,0
70,6154,847.0,1162,0,1505,300,0
80,7777,271.0,297,0,40,8,0
90,8690,148.0,170,0,28,5,0
100,9272,150.0,172,0,27,5,325.6
110,9948,148.0,170,0,28,5,325.9
120,10529,313.0,337,0,33,6,323.7
130,11264,146.0,168,0,28,5,338.0
140,12721,148.0,170,0,28,5,303.4
150,14543,149.0,172,0,26,5,291.1
160,15129,155.0,177,0,25,5,247.2
170,15670,272.0,296,0,34,6,247.5
180,16237,271.0,296,0,36,7,190.0
190,16817,269.0,295,0,42,8,190.0
200,18011,273.0,297,0,35,6,202.1
210,20148,275.0,299,0,36,7,214.4
220,20694,273.0,297,0,33,6,227.1
230,21631,275.0,299,0,36,7,223.1
240,22241,266.0,290,0,37,7,236.0
250,23743,271.0,295,0,35,7,247.8
260,25424,271.0,296,0,37,7,260.0
270,27101,272.0,297,0,37,7,271.6
280,27512,191.0,506,0,1505,300,271.6
290,28141,148.0,170,0,28,5,263.6
300,29108,272.0,296,0,34,6,251.5
310,29822,271.0,296,0,35,7,251.4
320,32319,149.0,172,0,27,5,251.0
330,34123,148.0,171,0,28,5,238.6
340,34901,273.0,297,0,37,7,225.9
350,36141,274.0,299,0,38,7,226.6
360,38261,270.0,295,0,41,8,226.9
370,39388,156.0,179,0,25,5,226.8
380,39784,270.0,294,0,40,7,215.2
390,40646,378.0,412,0,89,17,223.1
400,41613,276.0,301,0,37,7,246.1
410,42150,156.0,179,0,25,5,246.5
420,42895,147.0,169,0,28,5,235.0
430,43628,274.0,299,0,36,7,234.8
440,45516,272.0,297,0,35,7,247.4
450,46579,160.0,182,0,22,4,247.3
460,47296,191.0,506,0,1505,300,235.9
470,48247,271.0,295,0,39,7,228.0
480,49727,272.0,297,0,37,7,239.5
490,50071,275.0,301,0,41,8,239.7
500,50591,145.0,167,0,28,5,229.4
510,52990,191.0,506,0,1505,300,216.3
520,54259,273.0,297,0,39,7,219.8
530,56122,165.0,187,0,21,4,232.4
540,56646,273.0,298,0,36,7,221.5
550,57107,310.0,335,0,35,7,221.6
560,58718,156.0,179,0,25,5,236.6
570,59533,272.0,297,0,37,7,233.1
580,60133,65.0,94,0,57,11,233.2
590,60748,151.0,174,0,26,5,212.5
600,61778,148.0,171,0,28,5,200.1
610,63883,161.0,183,0,22,4,200.4
620,64504,276.0,301,0,38,7,197.4
630,64829,275.0,301,0,43,8,197.7
640,65349,191.0,506,0,1505,300,208.7
650,66074,152.0,175,0,27,5,200.5
660,67812,737.0,782,0,150,30,184.7
670,69947,165.0,187,0,21,4,242.8
680,71068,168.0,190,0,21,4,232.1
690,72150,167.0,189,0,21,4,242.4
700,72670,858.0,897,0,111,22,244.0
710,73635,40.0,70,0,67,13,315.0
720,74595,590.0,636,0,146,29,302.9
730,76616,276.0,301,0,38,7,334.3
740,77148,843.0,889,0,143,28,334.4
750,78453,163.0,185,0,21,4,399.6
760,79402,272.0,297,0,38,7,400.7
770,80168,271.0,296,0,38,7,354.2
780,80759,163.0,185,0,22,4,364.8
790,82655,1198.0,1258,0,227,45,364.3
800,83210,277.0,301,0,31,6,467.4
810,84875,272.0,296,0,38,7,409.3
820,85649,263.0,296,0,79,15,432.5
830,86199,191.0,506,0,1505,300,399.8
840,88608,143.0,166,0,28,5,391.3
850,89153,274.0,298,0,30,6,321.3
860,90492,166.0,188,0,21,4,332.4
870,91103,167.0,189,0,21,4,321.8
880,91689,191.0,506,0,1505,300,311.4
890,92280,270.0,294,0,40,8,314.2
900,93004,167.0,189,0,21,4,221.4
910,94168,148.0,170,0,27,5,210.4
920,94754,191.0,506,0,1505,300,198.0
930,96336,1132.0,1258,0,560,111,190.8
940,97293,274.0,298,0,30,6,284.9
950,97877,164.0,186,0,21,4,298.0
960,98414,164.0,185,0,21,4,287.0
970,99532,843.0,886,0,132,26,286.8
980,100019,-9.0,23,0,85,17,354.4
990,100698,857.0,900,0,130,25,334.4
1000,101711,162.0,184,0,21,4,393.1
1010,103777,164.0,186,0,22,4,392.6
1020,104388,143.0,165,0,29,5,394.2
1030,105128,275.0,300,0,38,7,389.4
1040,105799,138.0,162,0,31,6,303.7
1050,107802,397.0,425,0,59,11,290.1
1060,108702,137.0,160,0,31,6,313.4
1070,109219,266.0,291,0,42,8,310.7
1080,109862,491.0,519,0,56,11,253.0
1090,110630,286.0,312,0,45,8,303.0
1100,111218,146.0,168,0,28,5,245.9
1110,112126,142.0,164,0,29,5,244.3
1120,113080,167.0,189,0,21,4,242.1
1130,113897,-9.0,23,0,85,17,244.5
1140,114670,273.0,298,0,37,7,216.1
1150,115221,261.0,295,0,86,17,229.6
1160,118532,273.0,297,0,36,7,216.0
1170,119276,268.0,295,0,50,10,229.6
1180,119688,148.0,171,0,27,5,229.8
