epoch,i,reward,x_movement,success,iterations,time
1,44,147.0,168,0,28,5
2,86,147.0,168,0,28,5
3,819,170.0,191,0,20,3
4,887,170.0,191,0,20,3
5,924,170.0,191,0,20,3
6,1120,191.0,506,0,1505,300
7,1153,162.0,184,0,23,4
8,1280,162.0,184,0,23,4
9,1330,170.0,191,0,20,3
10,1368,170.0,191,0,20,3
11,1455,170.0,191,0,20,3
12,1507,170.0,191,0,20,3
13,1558,170.0,191,0,20,3
14,1720,170.0,191,0,20,3
15,1769,170.0,191,0,20,3
16,1818,162.0,184,0,23,4
17,1934,170.0,191,0,20,3
18,1976,274.0,296,0,29,5
19,2038,266.0,290,0,34,6
20,2171,161.0,183,0,21,4
21,2241,170.0,191,0,20,3
22,2299,170.0,191,0,20,3
23,2335,64.0,379,0,1505,300
24,2379,259.0,284,0,44,8
25,2424,259.0,284,0,44,8
26,2481,170.0,191,0,20,3
27,2538,275.0,299,0,31,6
28,2583,170.0,191,0,20,3
29,2609,147.0,168,0,28,5
30,2676,170.0,191,0,20,3
31,2742,168.0,189,0,20,3
32,2771,164.0,186,0,21,4
33,2825,170.0,191,0,20,3
34,2875,170.0,191,0,20,3
35,2936,170.0,191,0,20,3
36,2967,490.0,518,0,59,11
37,3004,213.0,240,0,57,11
38,3047,170.0,191,0,20,3
39,3106,170.0,191,0,20,3
40,3130,164.0,185,0,22,4
41,3179,162.0,183,0,22,4
42,3273,164.0,186,0,21,4
43,3331,162.0,183,0,22,4
44,3431,170.0,191,0,20,3
45,3567,165.0,186,0,21,4
46,3597,165.0,186,0,21,4
47,4267,164.0,185,0,22,4
48,4340,165.0,186,0,21,4
49,4379,164.0,185,0,22,4
50,4430,164.0,185,0,22,4
51,4488,167.0,188,0,21,4
52,4535,165.0,186,0,21,4
53,4607,164.0,185,0,22,4
54,4653,275.0,298,0,30,5
55,4701,273.0,295,0,29,5
56,4777,191.0,506,0,1505,300
57,4857,165.0,186,0,21,4
58,4998,191.0,506,0,1505,300
59,5067,191.0,506,0,1505,300
60,5110,165.0,186,0,21,4
61,5148,191.0,506,0,1505,300
62,5214,164.0,185,0,22,4
63,5248,164.0,185,0,22,4
64,5323,165.0,186,0,21,4
65,5363,165.0,186,0,21,4
66,5516,126.0,441,0,1505,300
67,5591,167.0,187,0,20,3
68,5648,162.0,183,0,22,4
69,5709,167.0,187,0,20,3
70,5764,191.0,506,0,1505,300
71,5989,165.0,186,0,21,4
72,6189,170.0,191,0,20,3
73,6243,151.0,172,0,26,5
74,6349,191.0,506,0,1505,300
75,6394,165.0,186,0,21,4
76,6453,276.0,299,0,29,5
77,6524,170.0,191,0,20,3
78,6674,168.0,189,0,20,4
79,6724,494.0,520,0,48,9
80,6833,167.0,188,0,21,4
81,6866,169.0,190,0,20,4
82,6889,588.0,617,0,55,11
83,6922,165.0,186,0,21,4
84,6969,588.0,617,0,55,11
85,7006,191.0,506,0,1505,300
86,7330,266.0,288,0,32,6
87,7436,157.0,177,0,25,4
88,7484,170.0,191,0,20,3
89,7554,191.0,506,0,1505,300
90,7589,170.0,191,0,20,3
91,7627,470.0,506,0,108,21
92,7673,168.0,189,0,20,4
93,7709,263.0,286,0,33,6
94,7765,170.0,191,0,20,3
95,7945,170.0,191,0,20,3
96,7974,167.0,188,0,21,4
97,8018,191.0,506,0,1505,300
98,8079,261.0,284,0,34,6
99,8287,170.0,191,0,20,3
100,8381,170.0,191,0,20,3
101,8420,170.0,191,0,20,3
102,8448,170.0,191,0,20,3
103,8509,170.0,191,0,20,3
104,8558,271.0,294,0,30,6
105,8594,170.0,191,0,20,3
106,8648,168.0,189,0,20,4
107,8831,191.0,506,0,1505,300
108,8868,167.0,187,0,20,3
109,9074,170.0,191,0,20,3
110,9104,170.0,191,0,20,3
111,9150,856.0,899,0,127,25
112,9238,170.0,191,0,20,3
113,9311,990.0,1034,0,130,26
114,9368,268.0,290,0,31,6
115,9437,170.0,191,0,20,3
116,9516,170.0,191,0,20,3
117,9566,168.0,189,0,21,4
118,9592,561.0,594,0,82,16
119,9622,410.0,437,0,54,10
120,9654,170.0,191,0,20,3
121,9709,269.0,292,0,33,6
122,9779,410.0,437,0,53,10
123,9816,268.0,291,0,32,6
124,9863,268.0,291,0,31,6
125,10062,99.0,123,0,45,9
126,10127,166.0,187,0,22,4
127,10206,15.0,45,0,77,15
128,10224,140.0,163,0,29,5
129,10262,169.0,191,0,21,4
130,10371,170.0,191,0,20,3
131,10534,147.0,168,0,28,5
132,10577,147.0,168,0,28,5
133,10645,147.0,168,0,28,5
134,10683,170.0,191,0,20,3
135,10725,273.0,296,0,31,6
136,10791,168.0,189,0,21,4
137,10813,165.0,186,0,22,4
138,10834,274.0,296,0,30,5
139,10896,164.0,185,0,22,4
140,10919,167.0,189,0,20,4
141,10959,266.0,288,0,32,6
142,10994,169.0,190,0,20,4
143,11033,170.0,191,0,20,3
144,11090,265.0,288,0,32,6
145,11142,493.0,522,0,56,11
146,11193,168.0,189,0,21,4
147,12134,167.0,188,0,21,4
148,12256,8.0,38,0,79,15
149,12317,-13.0,19,0,87,17
150,12429,168.0,189,0,20,4
151,12474,274.0,296,0,30,5
152,12586,268.0,291,0,31,6
153,12697,191.0,506,0,1505,300
154,12882,151.0,173,0,26,5
155,12921,170.0,191,0,20,3
156,12992,161.0,182,0,22,4
157,13034,263.0,287,0,35,7
158,13097,147.0,168,0,28,5
159,13186,191.0,506,0,1505,300
160,13249,-33.0,0,0,95,18
161,13276,144.0,167,0,28,5
162,13365,165.0,187,0,22,4
163,13627,269.0,298,0,56,11
164,13767,168.0,189,0,20,4
165,13880,191.0,506,0,1505,300
166,14015,148.0,170,0,27,5
167,14068,191.0,506,0,1505,300
168,14601,142.0,166,0,30,6
169,14724,170.0,191,0,20,3
170,14803,159.0,181,0,24,4
171,15066,268.0,292,0,31,6
172,15119,168.0,189,0,20,4
173,15149,170.0,191,0,20,3
174,15208,142.0,165,0,30,6
175,15255,256.0,278,0,36,7
176,15312,835.0,880,0,142,28
177,15363,170.0,191,0,20,3
178,15383,170.0,191,0,20,3
179,15521,267.0,290,0,32,6
180,15580,158.0,178,0,24,4
181,15946,276.0,299,0,29,5
182,16103,170.0,191,0,20,3
183,16505,170.0,191,0,20,3
184,16563,170.0,191,0,20,3
185,16609,169.0,191,0,21,4
186,16744,168.0,189,0,20,4
187,16770,151.0,173,0,27,5
188,16813,170.0,191,0,20,3
189,16833,191.0,506,0,1505,300
190,16945,168.0,189,0,20,4
191,17011,167.0,187,0,20,3
192,17116,161.0,183,0,23,4
193,17198,162.0,183,0,22,4
194,17263,267.0,289,0,31,6
195,17380,191.0,506,0,1505,300
196,17422,170.0,191,0,20,3
197,17596,165.0,187,0,22,4
198,17660,168.0,190,0,21,4
199,17775,170.0,191,0,20,3
200,17922,127.0,152,0,36,7
201,18173,168.0,190,0,21,4
202,18230,162.0,184,0,22,4
203,18298,-24.0,9,0,91,18
204,18368,169.0,189,0,20,3
205,18426,156.0,177,0,24,4
206,18456,167.0,188,0,20,3
207,18486,170.0,191,0,20,3
208,18617,268.0,291,0,31,6
209,18663,266.0,295,0,56,11
210,18701,167.0,189,0,21,4
211,18974,170.0,191,0,20,3
212,19028,269.0,291,0,31,6
213,19250,170.0,191,0,20,3
214,20146,191.0,506,0,1505,300
215,20180,274.0,297,0,29,5
216,20344,167.0,189,0,20,4
217,20389,505.0,534,0,60,12
218,20444,269.0,298,0,57,11
219,20481,265.0,288,0,35,6
220,20516,170.0,191,0,20,3
221,20555,834.0,883,0,169,33
222,20610,170.0,191,0,20,3
223,20649,145.0,167,0,28,5
224,20701,191.0,506,0,1505,300
225,20783,170.0,191,0,20,3
226,20826,170.0,191,0,20,3
227,20855,170.0,191,0,20,3
228,20905,170.0,191,0,20,3
229,22206,162.0,184,0,23,4
230,22289,158.0,180,0,23,4
231,22320,170.0,191,0,20,3
232,22388,170.0,191,0,20,3
233,22495,260.0,284,0,35,7
234,22539,170.0,191,0,20,3
235,22693,170.0,191,0,20,3
236,22794,266.0,290,0,35,6
237,22841,170.0,191,0,20,3
238,23100,161.0,183,0,23,4
239,23188,170.0,191,0,20,3
240,23465,169.0,189,0,20,3
241,23520,853.0,889,0,99,19
242,23703,263.0,288,0,37,7
243,23761,168.0,189,0,20,4
244,23812,505.0,533,0,58,11
245,23866,159.0,180,0,23,4
246,23948,162.0,184,0,23,4
247,23986,169.0,189,0,20,3
248,24039,170.0,191,0,20,3
249,24062,170.0,191,0,20,3
250,24124,168.0,188,0,21,4
251,24165,276.0,299,0,29,5
252,24204,276.0,299,0,29,5
253,24514,170.0,191,0,20,3
254,24585,168.0,189,0,20,4
255,24829,170.0,191,0,20,3
256,24851,170.0,191,0,20,3
257,24896,170.0,191,0,20,3
258,24923,160.0,182,0,23,4
259,24985,165.0,186,0,21,4
260,25049,170.0,191,0,20,3
261,25182,276.0,299,0,29,5
262,25241,268.0,291,0,31,6
263,25466,276.0,299,0,29,5
264,25516,170.0,191,0,20,3
265,25696,170.0,191,0,20,3
266,26057,505.0,533,0,56,11
267,26109,268.0,293,0,37,7
268,26246,168.0,189,0,20,3
269,26286,159.0,180,0,23,4
270,26452,170.0,191,0,20,3
271,26512,161.0,182,0,23,4
272,26632,157.0,179,0,25,4
273,26834,191.0,506,0,1505,300
274,26975,154.0,176,0,24,4
275,27110,154.0,177,0,25,5
276,27131,131.0,155,0,33,6
277,27179,128.0,151,0,34,6
278,27202,420.0,447,0,51,10
279,27283,159.0,181,0,25,4
280,27383,150.0,172,0,26,5
281,27436,411.0,438,0,54,10
282,27497,145.0,166,0,29,5
283,27570,154.0,176,0,25,4
284,27614,170.0,191,0,20,3
285,27756,167.0,188,0,21,4
286,27827,161.0,183,0,22,4
287,27977,265.0,290,0,39,7
